Candidate,Party,Status,State,Constituency,Age,Gender
Chandan Mallick,Independent,Accepted,West Bengal ,Bhabanipur,35,male
ANIL CH. MANDAL,Independent,Accepted,West Bengal ,Manikchak,54,male
TAPAS MONDAL,Amra Bangalee,Accepted,West Bengal ,Labhpur,46,male
AKSHAY SARKAR,Kamatapur People’s Party (United),Accepted,West Bengal ,Gangarampur,53,male
MIHIR KUMAR BANERJEE,Rashtravadi Janata Party,Accepted,West Bengal ,Bolpur,67,male
MD SAGIR HOSSAIN,Democratic Socialist Party of India,Accepted,West Bengal ,Beldanga,29,male
Anup Barman,Kamatapur People’s Party (United),Accepted,West Bengal ,Balurghat,25,male
Ashok Kumar Lahiri,Bharatiya Janata Party,Accepted,West Bengal ,Balurghat,69,male
MANIK KUMAR DAS,Janata Dal  (United),Accepted,West Bengal ,Khargram,39,male
Chaitanya Rabidas,Bahujan Samaj Party,Accepted,West Bengal ,Ratua,44,male
Md Nur Islam Sekh,Rashtriya Secular Majlis Party,Accepted,West Bengal ,Sujapur,38,male
NIKHIL BANERJEE,Bharatiya Janata Party,Accepted,West Bengal ,Hansan,55,male
Kalpana Chohan,Independent,Accepted,West Bengal ,Kolkata Port,45,female
Md Saidul Hoque,Independent,Accepted,West Bengal ,Sujapur,59,male
DR MOSARRAF HOSSAIN,All India Trinamool Congress,Accepted,West Bengal ,Murarai,58,male
Younish Mia,Bahujan Samaj Party,Accepted,West Bengal ,Chanchal,35,male
Jay Prakash Shaw,Independent,Accepted,West Bengal ,Kolkata Port,48,male
Santosh Kumar Sarkar,Bahujan Mukti Party,Accepted,West Bengal ,Maldaha,60,male
Sanjay Dey,Independent,Accepted,West Bengal ,Kolkata Port,51,male
SAMPA SEN,Independent,Accepted,West Bengal ,Durgapur Purba,33,female
BIJOY LAXMI PANDEY,Republican Party of India (Athawale),Accepted,West Bengal ,Durgapur Purba,40,female
KAJAL GHOSH BISWAS,Independent,Accepted,West Bengal ,Beldanga,56,female
ENAMUL HAQUE,Independent,Accepted,West Bengal ,Suti,52,male
SANJAY YADAV,Independent,Accepted,West Bengal ,Pandabeswar,40,male
GOUTAM ROY,Bharatiya Janata Party,Accepted,West Bengal ,Kandi,59,male
RAKESH KUMAR DAS,Bahujan Samaj Party,Accepted,West Bengal ,Pandabeswar,33,male
Narayan Das,Independent,Accepted,West Bengal ,Bhabanipur,60,male
Deepak Prasad Singh,Independent,Accepted,West Bengal ,Bhabanipur,60,male
Nitin Patel,Independent,Accepted,West Bengal ,Bhabanipur,58,male
MD. SHOUKAT ALI KHAN,Independent,Accepted,West Bengal ,Durgapur Purba,35,male
SAMIR GHOSH,Independent,Accepted,West Bengal ,Baisnabnagar,42,male
NARESH KUMAR DAS,Independent,Accepted,West Bengal ,Burwan,40,male
Ashraf Alam,Independent,Accepted,West Bengal ,Bhabanipur,40,male
SHILADITYA HALDAR,Indian National Congress,Accepted,West Bengal ,Burwan,43,male
Samar Mukherjee,All India Trinamool Congress,Accepted,West Bengal ,Ratua,79,male
AJIJ SAIKH,Bahujan Maha Party,Rejected,West Bengal ,Sagardighi,30,male
Anup Kumar Saha,Bharatiya Janata Party,Accepted,West Bengal ,Dubrajpur,34,male
MD OLIUR RAHAMAN,Independent,Accepted,West Bengal ,Harischandrapur,31,male
AYENUL HAQUE,Independent,Accepted,West Bengal ,Domkal,54,male
MANORANJAN KUMAR DAS,Independent,Accepted,West Bengal ,Harischandrapur,55,male
MD JEWEL MONDAL,Independent,Accepted,West Bengal ,Domkal,29,male
KUSH MAHALI,Independent,Accepted,West Bengal ,Kashipur-Belgachhia,27,male
ZUBIN RASHID,Independent,Accepted,West Bengal ,Ballygunge,41,male
SANTANU SAHA,Independent,Accepted,West Bengal ,Ballygunge,29,male
Saumitra Singh,Independent,Accepted,West Bengal ,Samserganj,34,male
ANIRBAN SAHA,Purvanchal Mahapanchayat,Accepted,West Bengal ,Ballygunge,46,male
LOKENATH CHATTERJEE,Bharatiya Janata Party,Accepted,West Bengal ,Ballygunge,30,male
MD RAFIQUL ALAM,All India Forward Bloc,Accepted,West Bengal ,Harischandrapur,49,male
ALBINUS HASDA,Bahujan Mukti Party,Accepted,West Bengal ,Tapan,46,male
MD FAHIM REJOUN,Hindustani Awam Morcha (Secular),Withdrawn,West Bengal ,Beldanga,26,male
NIPESH TIRKI,Kamatapur People’s Party (United),Accepted,West Bengal ,Tapan,32,male
SATISH RAJBANSHI,Independent,Accepted,West Bengal ,Englishbazar,48,male
ANIL KUMAR CHOUDHARY,Independent,Accepted,West Bengal ,Jorasanko,51,male
Arafat Ali,Welfare Party Of India,Accepted,West Bengal ,Ratua,35,male
SREERUPA MITRA CHAUDHURY(NIRBHOY DIDI),Bharatiya Janata Party,Accepted,West Bengal ,Englishbazar,56,female
PABAN NUNIA,Independent,Accepted,West Bengal ,Barabani,48,male
MD. ANISUR RAHAMAN,Independent,Accepted,West Bengal ,Englishbazar,55,male
UMA DAS (PAUL),Janata Dal  (United),Accepted,West Bengal ,Englishbazar,40,female
BHIMNAL SARKAR,Independent,Accepted,West Bengal ,Kushmandi,52,male
RAM BILAS MANDAL,Bahujan Samaj Party,Accepted,West Bengal ,Harischandrapur,38,male
BADAN GHOSH,Amra Bangalee,Accepted,West Bengal ,Bharatpur,64,male
ANAND SINGH KHARWAR,Independent,Accepted,West Bengal ,Jorasanko,27,male
FIROZ AKHTAR,Bahujan Mukti Party,Accepted,West Bengal ,Englishbazar,54,male
BASUDEB SAHA,Independent,Accepted,West Bengal ,Bharatpur,37,male
SONA MURMU,Bahujan Mukti Party,Accepted,West Bengal ,Bolpur,38,male
RANJIT KUMAR THAKUR,Independent,Accepted,West Bengal ,Jorasanko,35,male
SHYAMAPADA GHOSH,Bahujan Samaj Party,Accepted,West Bengal ,Bharatpur,56,male
PRATAP KORAMUDI,Ambedkarite Party of India,Accepted,West Bengal ,Habibpur,28,male
SAMIK MANDAL,Independent,Accepted,West Bengal ,Naoda,50,male
SUFAL BAGDI,Independent,Accepted,West Bengal ,Kandi,37,male
SK SIRAJUL HOQUE,Mulnibasi Party of India,Accepted,West Bengal ,Bolpur,62,male
PRADIP KUMAR PRAMANIK,Independent,Accepted,West Bengal ,Harirampur,45,male
BODON DAS,Independent,Accepted,West Bengal ,Kandi,40,male
BAHADUR GHOSH,Purvanchal Mahapanchayat,Accepted,West Bengal ,Labhpur,27,male
SWARAJIT SARKAR,Independent,Accepted,West Bengal ,Jangipur,54,male
MANIK HANSDA,Bahujan Mukti Party,Accepted,West Bengal ,Nalhati,54,male
ASAMOY MANDAL,Independent,Rejected,West Bengal ,Englishbazar,45,male
ARUN RAJAK,Bahujan Mukti Party,Accepted,West Bengal ,Kulti,29,male
JALALUDDIN AHMED,Independent,Accepted,West Bengal ,Harirampur,57,male
UJJAL CHATTERJEE,All India Trinamool Congress,Accepted,West Bengal ,Kulti,62,male
SHIULI RUIDAS,Bahujan Mukti Party,Accepted,West Bengal ,Asnsol Dakshin,28,female
MD MAINUL HOQUE,Bahujan Maha Party,Accepted,West Bengal ,Jangipur,38,male
BIJAN CHAKRABORTY,Independent,Accepted,West Bengal ,Harirampur,54,male
MURMU JOY,Independent,Accepted,West Bengal ,Habibpur,50,male
AVIJIT BOWRI,Bahujan Samaj Party,Accepted,West Bengal ,Raniganj,28,male
PRAVAT KUMAR KAR,Independent,Accepted,West Bengal ,Kandi,59,male
SURAJ KEWAT,Independent,Accepted,West Bengal ,Kulti,30,male
SANJAY NANDI,Independent,Accepted,West Bengal ,Shyampukur,46,male
SAMINUL ANSARY,Independent,Accepted,West Bengal ,Naoda,26,male
SYED AZIZUR HOSSAIN,Independent,Accepted,West Bengal ,Kandi,44,male
NIRAJ RAJAK,Purvanchal Mahapanchayat,Accepted,West Bengal ,Raniganj,29,male
ABU SALEM,"Justice and Development Party,",Accepted,West Bengal ,Jangipur,28,male
Danish Aziz,All India Majlis-E-Ittehadul Muslimeen,Accepted,West Bengal ,Asansol Uttar,26,male
