Candidate,Party,Status,State,Constituency,Age,Gender
S.Abinanth Ram,Independent,Accepted,Tamil Nadu ,Radhapuram,26,male
Jayanthi M,Makkal Needhi Maiam,Accepted,Tamil Nadu ,Tiruchendur,47,female
K. SINGARAJ,Desiya Murpokku Dravida Kazhagam,Rejected,Tamil Nadu ,Aruppukkottai,38,male
K AKILA,Naam Tamilar Katchi,Withdrawn,Tamil Nadu ,Erode (East),29,female
R.SUNDARAM,Independent,Accepted,Tamil Nadu ,Thirumayam,67,male
K.N. Gunasekaran,Amma Makkal Munnettra Kazagam,Accepted,Tamil Nadu ,Anna Nagar,60,male
N.GANDHI,Independent,Rejected,Tamil Nadu ,Ranipet,55,male
K.Subramani,Shiv Sena,Accepted,Tamil Nadu ,Thoothukkudi,40,male
UMAYAL,Indian National Congress,Accepted,Tamil Nadu ,Sriperumbudur,48,female
"Selvaraj, D.",Independent,Accepted,Tamil Nadu ,Tiruchirappalli (West),57,male
RAJAMANI,All India Samathuva Makhal Katchi,Withdrawn,Tamil Nadu ,Mudhukulathur,32,male
Sugumar P,Amma Makkal Munnettra Kazagam,Rejected,Tamil Nadu ,Erode (West),60,male
G. Shamuga Sundaram,Independent,Withdrawn,Tamil Nadu ,Tiruchirappalli (West),31,male
S. HARIHARAN,Desiya Murpokku Dravida Kazhagam,Accepted,Puducherry ,KALAPET,45,male
RAMESH.N.P,Independent,Accepted,Tamil Nadu ,Krishnarayapuram,46,male
P. JEYAKANI,Puratchi Bharatham,Rejected,Tamil Nadu ,Aruppukkottai,47,male
SAMIVEL.A,Independent,Accepted,Tamil Nadu ,Karur,36,male
THANIGAIVEL,Makkal Needhi Maiam,Accepted,Tamil Nadu ,Sriperumbudur,43,male
"Vinodh, V.",Naam Tamilar Katchi,Accepted,Tamil Nadu ,Tiruchirappalli (West),35,male
V.GUNASEKARAN,Independent,Accepted,Tamil Nadu ,Virugampakkam,60,male
T. Duraisamy,Indiya Jananayaka Katchi,Accepted,Tamil Nadu ,Yercaud,62,male
K. MARIAMMAL,Puthiya Tamilagam,Rejected,Tamil Nadu ,Aruppukkottai,42,female
NARENDIRAN D,Independent,Accepted,Tamil Nadu ,Villupuram,31,male
MANIKANDAN. C,Independent,Accepted,Tamil Nadu ,Viralimalai,31,male
"Dheepan, M.",Independent,Accepted,Tamil Nadu ,Tiruchirappalli (West),30,male
S.Sridhar,Independent,Accepted,Tamil Nadu ,Alandur,45,male
"Sundar Rajulu, G.",Independent,Accepted,Tamil Nadu ,Tiruchirappalli (West),52,male
SARAVANAN S,Naadaalum Makkal Katchi,Accepted,Tamil Nadu ,Namakkal,31,male
K.M.Prabhakaran,Independent,Rejected,Tamil Nadu ,Villivakkam,59,male
"Kalpana, T.",Independent,Accepted,Tamil Nadu ,Tiruchirappalli (West),48,female
C.BHAMA,Dravida Munnetra Kazhagam,Rejected,Tamil Nadu ,Tiruttani,55,male
S.GANDHI,Independent,Accepted,Tamil Nadu ,Ranipet,38,male
K. Mubarak Ali,SOCIAL DEMOCRATIC PARTY OF INDIA,Rejected,Tamil Nadu ,Tiruchirappalli (West),44,male
R.KARTHIK PERUMAL,Independent,Rejected,Tamil Nadu ,Karur,28,male
D.Ranjith,Indiya Jananayaka Katchi,Rejected,Tamil Nadu ,Yercaud,28,male
"Sudha, R.",Independent,Accepted,Tamil Nadu ,Tiruchirappalli (West),35,female
VIVEKANANTHAN S.,Makkal Needhi Maiam,Accepted,Tamil Nadu ,Rajapalayam,47,male
K.SELVAKUMAR,Independent,Rejected,Tamil Nadu ,Thirumayam,41,male
S.Manikandaraj,Independent,Rejected,Tamil Nadu ,Tiruchirappalli (West),29,male
Ramesh P,Naam Tamilar Katchi,Rejected,Tamil Nadu ,Tiruchendur,31,male
N. PERIYANNAN,Bharatiya Janata Party,Rejected,Puducherry ,KALAPET,71,male
"Sahabudheen, A.J.",Independent,Accepted,Tamil Nadu ,Tiruchirappalli (West),44,male
AMMASAI.K,Kongu  Desa  Marumalarchi  Makkal  Katchi,Accepted,Tamil Nadu ,Bhavani,44,male
ERA. VIWINSURYA,Independent,Rejected,Tamil Nadu ,Aravakurichi,45,male
ALI AKBAR MIAH,Independent,Accepted,Assam ,BILASIPARA WEST ,60,male
DHANALAKSHMI.M,Independent,Accepted,Tamil Nadu ,Viralimalai,46,female
Lakshamanan A,Independent,Rejected,Tamil Nadu ,Tittakudi,64,male
V.ALAMELUMANGA,Independent,Rejected,Tamil Nadu ,Yercaud,37,female
S.Kingsly Isacc Jebaraj,Independent,Rejected,Tamil Nadu ,Radhapuram,41,male
LEENA,Independent,Accepted,Tamil Nadu ,Sriperumbudur,39,female
NOOR MOHAMMED THOUFFIC.A,Independent,Accepted,Tamil Nadu ,Karur,26,male
S.MANIKANDAN,Independent,Accepted,Tamil Nadu ,Thirumayam,29,male
M. Geetha,Dravida Munnetra Kazhagam,Withdrawn,Tamil Nadu ,Anna Nagar,62,female
P.SELVAM,Independent,Rejected,Tamil Nadu ,Yercaud,50,male
M. Geetha,Dravida Munnetra Kazhagam,Accepted,Tamil Nadu ,Anna Nagar,62,female
E. VIGNESH,Independent,Accepted,Puducherry ,KALAPET,27,male
B.DINESH,Independent,Withdrawn,Tamil Nadu ,Karur,31,male
SUDHAKAR,Independent,Accepted,Tamil Nadu ,Sriperumbudur,41,male
MURUGAN P,Independent,Rejected,Tamil Nadu ,Virugampakkam,55,male
Jebakumar C,Independent,Rejected,Tamil Nadu ,Tiruchendur,51,male
A. NOOR MUHAMAD,Independent,Rejected,Tamil Nadu ,Thondamuthur,63,male
MURUGANANTHAM.T,Independent,Accepted,Tamil Nadu ,Krishnarayapuram,37,male
DASS K,Makkal Needhi Maiam,Accepted,Tamil Nadu ,Villupuram,43,male
SENTHILKUMAR P,My India Party,Accepted,Tamil Nadu ,Viralimalai,41,male
DEVARAJAN,Independent,Accepted,Tamil Nadu ,Sriperumbudur,41,male
Dhanalakshmi P,Naam Tamilar Katchi,Rejected,Tamil Nadu ,Tittakudi,35,female
KAJENDRAN.M,Independent,Accepted,Tamil Nadu ,Mylapore,39,male
VEDHAGIRI,Independent,Accepted,Tamil Nadu ,Sriperumbudur,51,male
S.Katteri Perumal,Independent,Accepted,Tamil Nadu ,Radhapuram,35,male
BALASUBRAMANIAN M,Independent,Accepted,Tamil Nadu ,Viralimalai,32,male
M.K. Mohan,Dravida Munnetra Kazhagam,Accepted,Tamil Nadu ,Anna Nagar,68,male
MUTHUADAIKKAN @ ADAIKKALAM,Independent,Accepted,Tamil Nadu ,Thirumayam,54,male
DEEPANANDH.N,Independent,Accepted,Tamil Nadu ,Karur,39,male
Sivabalan S,Independent,Rejected,Tamil Nadu ,Tittakudi,36,male
ALAGUMURUGAN S.,Makkal Needhi Maiam,Withdrawn,Tamil Nadu ,Rajapalayam,28,male
MATHIYALAGAN. P,Independent,Accepted,Tamil Nadu ,Aravakurichi,29,male
Chandran,Independent,Accepted,Tamil Nadu ,Tiruttani,50,male
Syed Rayhan,Independent,Accepted,Tamil Nadu ,Villivakkam,50,male
DR. ANES AHMED,Assam Jatiya Parishad,Accepted,Assam ,BILASIPARA WEST ,57,male
AL.MATHIALAGAN,Independent,Accepted,Tamil Nadu ,Thirumayam,27,male
VAIRASEEMAN. G,Independent,Accepted,Tamil Nadu ,Aravakurichi,35,male
RAGHURAMAN,Independent,Rejected,Tamil Nadu ,Sriperumbudur,49,male
KUPPAN V,Independent,Accepted,Tamil Nadu ,Villupuram,30,male
PANDEESWARI S,Independent,Rejected,Tamil Nadu ,Viralimalai,26,female
SATHASIVAM,Independent,Accepted,Tamil Nadu ,Virugampakkam,35,male
"NATARAJAN,  M.",Independent,Accepted,Tamil Nadu ,Tittakudi,46,male
SELVAKUMAR R,Independent,Accepted,Tamil Nadu ,Namakkal,44,male
M.KARTHICK,Independent,Accepted,Tamil Nadu ,Thirumayam,32,male
T.AZHAKUMALAI KUMARAN,Independent,Accepted,Tamil Nadu ,Mudhukulathur,43,male
Paramasivam L.K.,Independent,Withdrawn,Tamil Nadu ,Tittakudi,64,male
M.Chandran,Independent,Rejected,Tamil Nadu ,Tiruttani,41,male
K.SELVAKUMAR,Independent,Accepted,Tamil Nadu ,Thirumayam,33,male
SIVAKUMAR. O,Independent,Accepted,Tamil Nadu ,Krishnarayapuram,52,male
RAJAVARMAN R,Independent,Accepted,Tamil Nadu ,Viralimalai,33,male
M.Appavu,Dravida Munnetra Kazhagam,Rejected,Tamil Nadu ,Radhapuram,69,male
L.Govindaraj,Nam India Naam Indiyar Katchi,Accepted,Tamil Nadu ,Villivakkam,40,male
SIVASHANMUGAM K,Amma Makkal Munnettra Kazagam,Withdrawn,Tamil Nadu ,Aranthangi,69,male
"KAMATCHI,  N.",Naam Tamilar Katchi,Rejected,Tamil Nadu ,Tittakudi,29,female
D.R.DHARMARAJ,All India Anna Dravida Munnetra Kazhagam,Accepted,Tamil Nadu ,Lalgudi,57,male
"GOMATHI,S.",Naam Tamilar Katchi,Withdrawn,Tamil Nadu ,Erode (East),32,female
TAMIL SELVAN.M,Independent,Accepted,Tamil Nadu ,Krishnarayapuram,45,male
HARIS,Indian National Congress,Rejected,Kerala ,THAVANUR,30,male
THIRUVENTHIRAN V,Independent,Accepted,Tamil Nadu ,Viralimalai,32,male
T.M.Anbarasan,Dravida Munnetra Kazhagam,Accepted,Tamil Nadu ,Alandur,61,male
M.SELVAKUMAR,Independent,Accepted,Tamil Nadu ,Thirumayam,27,male
"NANDHAKUMAR, C. K.",Makkal Needhi Maiam,Accepted,Tamil Nadu ,Perundurai,42,male
Ambedkar K,Independent,Rejected,Tamil Nadu ,Tittakudi,31,male
SATHIYA R,Amma Makkal Munnettra Kazagam,Rejected,Tamil Nadu ,Bhavani,43,female
KIRUBANANTH. S,Independent,Accepted,Tamil Nadu ,Aravakurichi,32,male
Logithasan K,Independent,Rejected,Tamil Nadu ,Tittakudi,50,male
JOTHIVEL A,Independent,Accepted,Tamil Nadu ,Viralimalai,48,male
K.G. Sakthi Ganapathy,Amma Makkal Munnettra Kazagam,Withdrawn,Tamil Nadu ,Anna Nagar,32,male
S.SELVAKUMAR,Independent,Accepted,Tamil Nadu ,Thirumayam,28,male
SARAVANAN K,Independent,Accepted,Tamil Nadu ,Tiruchengodu,37,male
L.AKILA,Naam Tamilar Katchi,Rejected,Tamil Nadu ,Tiruttani,31,female
M.SELVAKUMAR,Independent,Accepted,Tamil Nadu ,Thirumayam,28,male
"MANIKANDAN, S.",Independent,Accepted,Tamil Nadu ,Thiruparankundram,29,male
PALANISAMY A,Independent,Accepted,Tamil Nadu ,Viralimalai,51,male
D.PRABAKARAN,Independent,Accepted,Tamil Nadu ,Virugampakkam,52,male
"KOLANJINATHAN,  V.",Independent,Accepted,Tamil Nadu ,Tittakudi,54,male
ARUNKUMAR A,Independent,Rejected,Tamil Nadu ,Villupuram,23,male
R.Kumaravel,Independent,Rejected,Tamil Nadu ,Villivakkam,50,male
MADHESWARAN R,Independent,Withdrawn,Tamil Nadu ,Namakkal,54,male
"UKKRA PANDIYAN, S.",Independent,Accepted,Tamil Nadu ,Thiruparankundram,28,male
MURUGANANTHAM K.,Independent,Rejected,Tamil Nadu ,Rajapalayam,68,male
M.SELVAKUMAR,Independent,Accepted,Tamil Nadu ,Thirumayam,26,male
RANGARAJAN.R,Independent,Accepted,Tamil Nadu ,Mylapore,35,male
ABDUL NAZAR K,Independent,Accepted,Tamil Nadu ,Viralimalai,59,male
C.A.Ashok Kumar,Independent,Accepted,Tamil Nadu ,Villivakkam,50,male
SARAVANAN. P,Independent,Accepted,Tamil Nadu ,Aravakurichi,38,male
T.Rethina Pandi,Independent,Accepted,Tamil Nadu ,Radhapuram,54,male
SIVASUBRAMANIAN,Independent,Rejected,Tamil Nadu ,Tirunelveli,44,male
Abbdullah Sahib,Independent,Rejected,Tamil Nadu ,Tiruchendur,48,male
D.Muralikrishnan,Makkal Needhi Maiam,Withdrawn,Tamil Nadu ,Lalgudi,47,male
M.Valarmathi,Independent,Accepted,Tamil Nadu ,Alandur,41,female
"ARUMUGAM, V.",Independent,Accepted,Tamil Nadu ,Thiruparankundram,35,male
"MINNAL MURUGESH,R.",Independent,Accepted,Tamil Nadu ,Erode (East),53,male
MOZNUR RAHMAN,Independent,Accepted,Assam ,BILASIPARA EAST  ,39,male
MANOGARI,Shiv Sena,Rejected,Tamil Nadu ,Sriperumbudur,41,female
SYEED MOHAMED J,Independent,Accepted,Tamil Nadu ,Viralimalai,38,male
V.M. Nagarajan,Independent,Accepted,Tamil Nadu ,Anna Nagar,44,male
MUTHUKRISHNAN S,Independent,Withdrawn,Tamil Nadu ,Thiruparankundram,38,male
S.Krishnan,Independent,Accepted,Tamil Nadu ,Thoothukkudi,43,male
"BALAMURUGAN, R.",Independent,Accepted,Tamil Nadu ,Thiruparankundram,29,male
M.S.ISMAIL KHAN,All India Jananayaka Makkal Kazhagam,Accepted,Tamil Nadu ,Virugampakkam,40,male
"DAVID ANNADURAI, K.",Amma Makkal Munnettra Kazagam,Rejected,Tamil Nadu ,Thiruparankundram,43,male
ARJUNAN R,Independent,Accepted,Tamil Nadu ,Aranthangi,43,male
MURUGESAN. M. S,Independent,Accepted,Tamil Nadu ,Aravakurichi,51,male
D.Arunraj,Independent,Accepted,Tamil Nadu ,Radhapuram,30,male
S.Ramakrishnan,Independent,Withdrawn,Tamil Nadu ,Lalgudi,45,male
P. KALIAMURTHY,Amma Makkal Munnettra Kazagam,Accepted,Puducherry ,KALAPET,64,male
ABDUL MONNAF PRAMANIK,Janata Dal  (United),Accepted,Assam ,BILASIPARA EAST  ,35,male
P.Sathiyaraj,Independent,Accepted,Tamil Nadu ,Alandur,32,male
"PACKIYASELVI, K.",Independent,Accepted,Tamil Nadu ,Thiruparankundram,32,female
D.Krishnamoorthi,Desiya Murpokku Dravida Kazhagam,Accepted,Tamil Nadu ,Tiruttani,58,male
"RADHA (A) GUNASEKARAN, M.",Independent,Accepted,Tamil Nadu ,Thiruparankundram,39,male
D.Krishnamoorthi,Desiya Murpokku Dravida Kazhagam,Rejected,Tamil Nadu ,Tiruttani,58,male
A.SANKAR,Independent,Accepted,Tamil Nadu ,Kadayanallur,49,male
SATHEESH KUMAR.P,Independent,Accepted,Tamil Nadu ,Bhavani,42,male
ABDUL JABBAR,Independent,Accepted,Assam ,BILASIPARA EAST  ,45,male
"ILANGOVAN, P.",Independent,Accepted,Tamil Nadu ,Thiruparankundram,49,male
"MOHIDEEN ABDUL KADAR, M.K.",Independent,Accepted,Tamil Nadu ,Thiruparankundram,44,male
R.POOVARAGAVAN,My India Party,Rejected,Tamil Nadu ,Perundurai,45,male
P.M.SAHADEVAN,Independent,Accepted,Tamil Nadu ,Lalgudi,55,male
S.Manikandan,Independent,Accepted,Tamil Nadu ,Radhapuram,37,male
S.SEENIVASAN,Independent,Accepted,Tamil Nadu ,Kadayanallur,34,male
RAMAJAYAM.C,Amma Makkal Munnettra Kazagam,Accepted,Tamil Nadu ,Royapuram,57,male
KRISHNAMOORTHI.M,Independent,Accepted,Tamil Nadu ,Krishnarayapuram,36,male
SANDIP KR. DEBNATH,Independent,Withdrawn,Assam ,BILASIPARA EAST  ,33,male
SIVAPRAKASH.K,Independent,Accepted,Tamil Nadu ,Chengam,42,male
R.Jesu Dhasan,Naam Tamilar Katchi,Rejected,Tamil Nadu ,Radhapuram,40,male
R.KRISHNAN,Independent,Accepted,Tamil Nadu ,Kadayanallur,55,male
RAJESHKANNAN.S,Independent,Accepted,Tamil Nadu ,Karur,42,male
K.PRAVEEN,Desiya Murpokku Dravida Kazhagam,Rejected,Tamil Nadu ,Tiruttani,29,male
FIROZ S/o Avarankutty,Independent,Accepted,Kerala ,TANUR,40,male
S.THIYAGARAJAN,Independent,Rejected,Tamil Nadu ,Ranipet,43,male
PRABHU. G,Independent,Accepted,Tamil Nadu ,Aravakurichi,38,male
FIROS KUNNATHPARAMBIL,Independent,Accepted,Kerala ,THAVANUR,45,male
RAVIKUMAR S,Independent,Rejected,Tamil Nadu ,Namakkal,45,male
A.SOUNDARAPANDIAN,Dravida Munnetra Kazhagam,Accepted,Tamil Nadu ,Lalgudi,56,male
K P M MUSTHAFA   S/o MUHAMMEDALI HAJI,Independent,Accepted,Kerala ,PERINTHALMANNA,53,male
S.GUNASEKAR,Independent,Accepted,Tamil Nadu ,Virugampakkam,31,male
S. SRINIVASAN,Independent,Accepted,Tamil Nadu ,Kancheepuram,38,male
R. Saravanan,Independent,Accepted,Tamil Nadu ,Anna Nagar,55,male
M.AYYADURAI,Independent,Accepted,Tamil Nadu ,Kadayanallur,31,male
"BALASUBRAMANI, V. M.",Independent,Accepted,Tamil Nadu ,Perundurai,63,male
A ANUSHKUMAR,Amma Makkal Munnettra Kazagam,Withdrawn,Tamil Nadu ,Erode (East),45,male
PRODIP CHANDRA ROY,Republican Party of India,Accepted,Assam ,BILASIPARA EAST  ,51,male
A.ALLIRANI,Amma Makkal Munnettra Kazagam,Withdrawn,Tamil Nadu ,Kadayanallur,56,female
PANDIYAN V,Independent,Accepted,Tamil Nadu ,Aranthangi,43,male
JOHN PETER M,Independent,Rejected,Tamil Nadu ,Ulundurpettai,41,male
VASANTHI,Independent,Accepted,Tamil Nadu ,Sriperumbudur,38,female
AYYADURAI  R,Independent,Accepted,Tamil Nadu ,Kadayanallur,52,male
Muthusamy A,Independent,Accepted,Tamil Nadu ,Erode (West),52,male
E.Esakkiammal,Bahujan Samaj Party,Accepted,Tamil Nadu ,Radhapuram,40,female
"RAMANAN, R.",Independent,Accepted,Tamil Nadu ,Thiruvallur,44,male
JANAGARAJ R,Makkal Needhi Maiam,Accepted,Tamil Nadu ,Tiruchengodu,46,male
I.MALAR TAMIL PRABHA,Naam Tamilar Katchi,Accepted,Tamil Nadu ,Lalgudi,28,female
SENTHILKUMAR.A,Independent,Accepted,Tamil Nadu ,Karur,34,male
V.P.Vijayan,Independent,Accepted,Tamil Nadu ,Tiruttani,25,male
VELAMMAL,Independent,Accepted,Tamil Nadu ,Kadayanallur,48,female
MOIDEEN MEENTHRATHAKATH,Independent,Accepted,Kerala ,TIRUR,63,male
M. MOHANASUNDARAVEL,Independent,Withdrawn,Puducherry ,KALAPET,44,male
C.KRISHNAMURALI,All India Anna Dravida Munnetra Kazhagam,Rejected,Tamil Nadu ,Kadayanallur,38,male
SEKAR .S,Puthiya Tamilagam,Rejected,Tamil Nadu ,Tiruppattur,53,male
Balasubramaniam K,India Dravida Makkal Munnetra Katchi,Accepted,Tamil Nadu ,Erode (West),55,male
MATHIVANAN S,Independent,Accepted,Tamil Nadu ,Tirukkoyilur,28,male
PERIYASAMY. M. R,Independent,Accepted,Tamil Nadu ,Aravakurichi,53,male
M.Gunasekaran,Independent,Accepted,Tamil Nadu ,Villivakkam,59,male
G.K. Kalaivannan,Independent,Rejected,Tamil Nadu ,Anna Nagar,24,male
JITENDRA NATH ADHIKARY,Independent,Accepted,Assam ,BILASIPARA EAST  ,44,male
GURURAJ P,Independent,Accepted,Tamil Nadu ,Sankarankovil,44,male
JAWAHAR,Independent,Accepted,Tamil Nadu ,Namakkal,57,male
P.Ramesh,Independent,Rejected,Tamil Nadu ,Villivakkam,47,male
MAYA BAG,Independent,Accepted,West Bengal ,Canning Paschim,45,female
KARTHIKEYAN.P,Independent,Accepted,Tamil Nadu ,Bhavani,40,male
ABUPAKKAR,Independent,Rejected,Tamil Nadu ,Kadayanallur,50,male
S.ANANDAN,Independent,Rejected,Tamil Nadu ,Velachery,45,male
G.Deva Peran,Independent,Accepted,Tamil Nadu ,Radhapuram,41,male
Jagadesh Jayakumar,Valamaana  Tamizhagam   Katchi,Accepted,Tamil Nadu ,Villivakkam,41,male
SADAM HUSSAIN.K,My India Party,Accepted,Tamil Nadu ,Madurai South,31,male
G.RAVI,Rashtriya Janata Dal,Accepted,Tamil Nadu ,Virugampakkam,36,male
R.SILAMBARASAN,Anna MGR Dravida Makkal Kalgam,Accepted,Tamil Nadu ,Lalgudi,31,male
V. MOWLIRAJAN,Akhil Bharat Hindu Mahasabha,Rejected,Tamil Nadu ,Tirupattur,27,male
ARUMUGAM. R,Independent,Accepted,Tamil Nadu ,Aravakurichi,49,male
"VAITHI, M.",Independent,Accepted,Tamil Nadu ,Veerapandi,35,male
VASUKI.G,Independent,Rejected,Tamil Nadu ,Harur,48,female
RAJU ANTONY,Independent,Accepted,Kerala ,THIRUVANANTHAPURAM,65,male
ADV:SANKU T DAS,Bharatiya Janata Party,Accepted,Kerala ,THRITHALA,31,male
N.DHANAPAL,Independent,Withdrawn,Tamil Nadu ,Salem (South),47,male
HAMEED,Indian National League,Withdrawn,Kerala ,KOZHIKODE SOUTH,59,male
Sunil M,Bharatiya Janata Party,Accepted,Kerala ,KOLLAM,55,male
Adv. BINDHU KRISHNA,Indian National Congress,Accepted,Kerala ,KOLLAM,48,female
Manikandan K,Independent,Accepted,Tamil Nadu ,Vandavasi,29,male
SHAMSUDHEEN. V.T.,Indian National Congress,Rejected,Puducherry ,MAHE,58,male
ABDUL RAZIK  H.,SOCIAL DEMOCRATIC PARTY OF INDIA,Rejected,Tamil Nadu ,Thiruvarur,34,male
GULSAN MULLICK,All India Trinamool Congress,Accepted,West Bengal ,Panchla,63,male
VALLIYAMMAL,Independent,Withdrawn,Tamil Nadu ,Tiruvadanai,40,female
PRAVEEN RAJA G,Desiya Murpokku Dravida Kazhagam,Rejected,Tamil Nadu ,Vanur,33,male
M K SHAMEER,SOCIAL DEMOCRATIC PARTY OF INDIA,Accepted,Kerala ,KAIPAMANGALAM,49,male
BIMAL CHANDRA DAS,Independent,Withdrawn,Assam ,ABHAYAPURI SOUTH  ,43,male
Padmaja S. Menon,Bharatiya Janata Party,Accepted,Kerala ,ERANAKULAM,58,female
ATIKUR RAHMAN,Assam Jatiya Parishad,Accepted,Assam ,GOLAKGANJ ,54,male
CHANDRIKA,Welfare Party Of India,Accepted,Kerala ,BALUSSERI,47,female
SAMBATHKUMAR. T,Dravida Munnetra Kazhagam,Accepted,Tamil Nadu ,Edappadi,36,male
SIVAKUMARAN,Amma Makkal Munnettra Kazagam,Rejected,Tamil Nadu ,Pattukkottai,48,male
K.SAKTHIVELKANAKARAJ,Independent,Withdrawn,Tamil Nadu ,Omalur,42,male
JYOTISH KUMAR DAS,Independent,Accepted,Assam ,CHAPAGURI   ,43,male
DR. Reza M A Amin,All India United Democratic Front,Accepted,Assam ,JALESWAR   ,44,male
K .P YESUDAS,Independent,Accepted,Kerala ,THIRUVALLA,53,male
RAVICHANDRAN A,Dravida Munnetra Kazhagam,Rejected,Tamil Nadu ,Kumarapalayam,54,male
"SIVAKUMAR, P.",Makkal Needhi Maiam,Accepted,Tamil Nadu ,Attur,43,male
SREENAGARI RAJAN,Bharatiya Janata Party,Accepted,Kerala ,PEERUMADE,62,male
MANOHARAN,Independent,Accepted,Kerala ,KONNI,48,male
THIRUPATHI P,Independent,Withdrawn,Tamil Nadu ,Madurai North,49,male
Pradeeplal,Bharath Dharma Jana Sena,Accepted,Kerala ,KAYAMKULAM,57,male
JEYAKANI M,Desiya Murpokku Dravida Kazhagam,Rejected,Tamil Nadu ,Sholavandan,26,female
ONDAN PANIYAN,Independent,Accepted,Kerala ,SULTHANBATHERY,86,male
R.Selvaraj,Independent,Withdrawn,Tamil Nadu ,Periyakulam,39,male
TANUSREE GHOSH,Independent,Accepted,West Bengal ,Jangipara,34,female
R.Dhashnamoorthi,Independent,Rejected,Tamil Nadu ,Kurinjipadi,65,male
A S Ramesh,Independent,Accepted,Puducherry ,OZHUKARAI,42,male
"ARAVAZHI, K.",Akhila India Jananayaka Makkal Katchi (Dr. Isaac),Rejected,Tamil Nadu ,Kumbakonam,55,male
"ELANGOVAN, G.",Independent,Accepted,Tamil Nadu ,Peravurani,62,male
Moorthy. V,All India Anna Dravida Munnetra Kazhagam,Rejected,Tamil Nadu ,Madavaram,62,male
THAMPI METTUTHARA,Bharath Dharma Jana Sena,Accepted,Kerala ,KUTTANAD,51,male
Adv. BRM Shafeer,Indian National Congress,Accepted,Kerala ,VARKALA,40,male
SEKAR R,Independent,Accepted,Tamil Nadu ,Paramathi-Velur,50,male
BALAJI. D,Independent,Accepted,Tamil Nadu ,Salem (West),33,male
R. Gunasekaran,Independent,Accepted,Tamil Nadu ,Sivaganga,27,male
K.Kumaraguru,Dravida Munnetra Kazhagam,Rejected,Tamil Nadu ,Bhuvanagiri,52,male
Purusothaman,Akhil Bharat Hindu Mahasabha,Rejected,Tamil Nadu ,Kovilpatti,44,male
NIVEDIDA SUBRAMANIAN,Bharatiya Janata Party,Rejected,Kerala ,GURUVAYOOR,49,female
CHANDRASEKAR V,Independent,Accepted,Tamil Nadu ,Manapparai,42,male
PANCHANAN MAHANTA,Independent,Accepted,West Bengal ,Jagatballavpur,28,male
JEGADEESH KUMAR R,Independent,Accepted,Tamil Nadu ,Thirumangalam,38,male
TAMILARASAN.S.,Independent,Accepted,Tamil Nadu ,Dharmapuri,63,male
THANGARAJ M,Amma Makkal Munnettra Kazagam,Rejected,Tamil Nadu ,Virudhunagar,57,male
MURUGAN S,Naam Tamilar Katchi,Rejected,Tamil Nadu ,Tirukkoyilur,36,male
KRISHNAN A,Independent,Accepted,Tamil Nadu ,Bargur,46,male
Karthikeyan .R,Independent,Accepted,Tamil Nadu ,Vellore,44,male
VINOTH R,Independent,Rejected,Tamil Nadu ,Thiyagarayanagar,32,male
ABDUL MUNEER,Independent,Accepted,Kerala ,KODUVALLY,41,male
RAJENDRAN.P,Independent,Accepted,Tamil Nadu ,Kangayam,61,male
V.JEYAKODI,Independent,Accepted,Tamil Nadu ,Andipatti,45,male
M.R.NAWAZUDIEEN,Independent,Accepted,Tamil Nadu ,Salem (North),36,male
CHAMPAK KALITA,All India United Democratic Front,Accepted,Assam ,BARKHETRI   ,49,male
Benny Kodiyatil,Independent,Accepted,Kerala ,OLLUR,49,male
T N HariKumar,Bharatiya Janata Party,Accepted,Kerala ,ETTUMANOOR,46,male
"GURUVAIYA, G.",Independent,Accepted,Tamil Nadu ,Srivilliputhur,63,male
SELVARAJ V,Indiya Jananayaka Katchi,Accepted,Tamil Nadu ,Senthamangalam,44,male
ESWARAN G,Independent,Accepted,Tamil Nadu ,Tiruchengodu,51,male
Jayanthi Padmanaban.C,Amma Makkal Munnettra Kazagam,Accepted,Tamil Nadu ,Gudiyattam,40,female
MADHAN MOHAN S,Dravida Munnetra Kazhagam,Rejected,Tamil Nadu ,Chepauk-Thiruvallikeni,46,male
Balendran C.B,Naam Tamilar Katchi,Rejected,Tamil Nadu ,Coimbatore (North),54,male
AYYASAMY.M,Independent,Withdrawn,Tamil Nadu ,Sivakasi,44,male
S. ABDUL RAHMAN,Indian Union Muslim League,Rejected,Tamil Nadu ,Chidambaram,42,male
MOOVENDHAN,Dravida Munnetra Kazhagam,Rejected,Tamil Nadu ,Ramanathapuram,47,male
Rajendran.M.S,Indiya Jananayaka Katchi,Accepted,Tamil Nadu ,Kalasapakkam,60,male
ADV. K. PRAVEEN KUMAR,Indian National Congress,Accepted,Kerala ,NADAPURAM,51,male
SREEKUMAR CHAKKALA,Bahujan Samaj Party,Accepted,Kerala ,KOTTAYAM,53,male
A.SURESH KUMAR,Independent,Withdrawn,Tamil Nadu ,Salem (South),42,male
VIVEK SUBRAMANIAM,Manitha Urimaigal Kalaagam,Accepted,Tamil Nadu ,Coimbatore (South),35,male
P K Subramanian,Bahujan Samaj Party,Accepted,Kerala ,OLLUR,62,male
R.SELVAVIGNESH,Independent,Accepted,Tamil Nadu ,Shozhinganallur,26,male
A.ABTHAHIR,Independent,Accepted,Tamil Nadu ,Bodinayakanur,46,male
SANTANU MUKHERJEE,Political Justice Party,Accepted,Assam ,BONGAIGAON    ,46,male
